﻿Photos,Files,,Job Code,Project,Ele. #,Ele. Name,,Task,Dept.,,Check In,Completed,,Notes
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Assemble Long and Short Lightbox Column,Fab,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Rocket ship armature,Metal,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-5,Glazed Feather Wall,,Cut MDF,CNC,,,,,
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Get approval on mockup corner,PM,,12/9/2019,,,Email sent to ISEC on 10/24/19 with photos
,,,18-104,Ft. McDowell,-15,Column Lightbox Panels,,Check in on Victor's Progress,PM,,,Checked,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Mockup drawings to the floor,PM,,12/2/2019,Checked,,We're going to mock up the lighting on the finished element
,,,19-248,Kyle Mock,-3,Kyle Mock,,Prep for meeting,PM,,,Checked,,10/15/19 @ 10:00a
,,,18-104,Ft. McDowell,-24,Ceiling Beam Diffusers,,Get approval on polycarbonate or alternate material,PM,,12/13/2019,,,Sent clarification email to Jenna Laughman on 10/24/19 @ 3:15p
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Respond to Matt and Jenna's email about the light fixture,PM,,,Checked,,
,,,18-104,Ft. McDowell,-5,Glazed Feather Wall,,Order MDF,PM,,,,,
,,,19-248,Kyle Mock,-2,,,Prep for meeting,PM,,,Checked,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Order materials,PM,,,,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Berry needs an answer on the permit by Thursday,PM,,12/2/2019,Checked,,
,,,18-104,Ft. McDowell,-2,,,Any remaining material takeoffs,PM,,12/2/2019,Checked,,Create list in elements below today
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Talk to Forma about moving install date to Sunday 11/10,PM,,10/29/2019,Checked,,Kyle confirmed this was acceptable via email on 10/29/19
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Schedule meeting with Kyle and Rob,PM,,,Checked,,10/14/19 @ 2:30
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Order cut sheet metal pattern,PM,,,,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Get a status update and make sure we're on track for the 11th,PM,,11/5/2019,Checked,,I'm going to need to update ISEC and Kitchell on the schedule
,,,19-248,Kyle Mock,-3,Kyle Mock,,Send follow up / summary email,PM,,,Checked,,Sent 10/15/19 @ 2:47
,,,18-222,Desert Diamond,-3,Wall Panels,,Ship out paint and send Jan tracking number,PM,,10/29/2019,Checked,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Get structural calcs from Canaan,PM,,,Checked,,In progress he has the updated drawing set and we spoke about requirements on 10/24/19
,,,18-104,Ft. McDowell,-5,Glazed Feather Wall,,Order glazing,PM,,,,,
,,,18-104,Ft. McDowell,-21,Garden Court Torchiers,,Torchier #1 - Build metal frame + horizontal rings,Metal,,12/2/2019,Checked,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Respond to Christy's email about install date,PM,,,Checked,,
,,,18-104,Ft. McDowell,-4,Buffet Fins,,Get updated quote from Envel,PM,,,,,
,,,18-104,Ft. McDowell,-20,Decorative Center Column,,Look in to providing adjustability on the track behind the panels,PM,,12/13/2019,,,Per (off the record) phone call with David Nejelski on 10/24/19
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Send Christy signed change order,PM,,,Checked,,
,,,18-104,Ft. McDowell,-23,Long and Short Lightbox Column,,Order polycarbonate from Souers,PM,,12/6/2019,,,
,,,18-104,Ft. McDowell,-24,Ceiling Beam Diffusers,,Paint angle frames,Paint,,,,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Resubmit updated sheet,PM,,,Checked,,
,,,19-248,Kyle Mock,-3,Cable Pedestals,,Find CV alternatives / look into custom options,Design,,12/2/2019,Checked,,
,,,19-156,Everett Public Library,-3,Rocket Ship Sign,,Get smoke panels cut,Vendor,,10/29/2019,Checked,,
,,,18-104,Ft. McDowell,-9,Specialty Restaurant Facade,,Paint / Stain? Fins,Paint,,,,,
,,,19-248,Kyle Mock,-2,,,Make sure John and Jesse know they can get started,PM,,10/30/2019,Checked,,Log and Cable Pedestal Only
,,,18-104,Ft. McDowell,-19,Framed Cut Metal Panels,,Ship Framed Cut Metal Panels,Shipping,,,,,Truck # 1
